nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
3720.75,121.583,168.867,176.133,2240.27,2260.27,0.967287,0.939455,665.389
3723.5,125.889,170.766,176.18,2267.58,2266.88,0.958498,0.8938,665.389
3755.0,125.945,171.867,176.109,2276.76,2265.43,0.954835,0.8938,665.389
3782.75,125.056,172.898,173.602,2301.05,2236.09,0.925783,0.8938,665.389
3793.5,126.695,174.773,173.602,2325.31,2239.41,0.919923,0.8938,671.385
3830.25,126.528,175.641,173.578,2337.46,2241.05,0.895509,0.872072,671.385
3844.75,123.278,174.023,172.336,2322.3,2231.76,0.874757,0.872072,671.385
3852.0,122.333,171.422,177.727,2316.21,2300.12,0.859376,0.872072,671.385
3893.0,123.5,170.508,179.18,2267.62,2320.16,0.854249,0.872072,677.361
3896.75,121.361,168.563,177.633,2243.28,2303.28,0.846193,0.839601,677.361
3907.5,123.445,167.859,177.68,2222.07,2306.05,0.838136,0.839601,677.361
3940.75,124.722,166.945,179.086,2240.23,2325.51,0.820558,0.839601,677.361
3966.5,123.889,167.391,176.391,2228.13,2294.34,0.813478,0.839601,683.143
3968.25,125.806,166.195,179.016,2249.38,2329.92,0.815187,0.826417,683.143
3993.5,125.528,164.695,180.539,2258.48,2349.53,0.816896,0.826417,683.143
4030.0,131.556,170.133,175.102,2282.77,2284.02,0.816896,0.826417,688.67
4042.25,131.695,169.969,176.484,2276.76,2299.41,0.820558,0.805177,688.67
4052.75,133.722,173.18,176.297,2319.26,2290.23,0.825929,0.805177,688.67
4067.75,133.695,173.086,176.555,2316.25,2291.84,0.80298,0.805177,688.67
4106.5,134.75,174.258,175.148,2331.45,2270.94,0.805421,0.805177,693.904
4120.0,134.167,175.617,176.461,2346.64,2283.32,0.806398,0.804689,693.904
4140.75,133.5,176.297,176.484,2355.7,2281.99,0.786866,0.804689,693.904
4156.25,134.333,174.211,176.414,2358.75,2278.13,0.785157,0.804689,693.904
4174.75,136.333,172.359,176.484,2343.55,2277.85,0.794923,0.804689,698.807
4199.5,136.417,171.375,176.367,2343.59,2274.26,0.7959,0.800294,698.807
4226.5,136.583,170.133,176.508,2331.45,2272.38,0.81006,0.800294,698.807
4220.75,134.472,169.781,176.461,2316.25,2270.78,0.786866,0.800294,698.807
4259.25,136.722,168.68,176.484,2328.4,2270.86,0.808107,0.796876,703.416
4286.5,137.556,168.727,173.906,2316.25,2235.08,0.820558,0.796876,703.416
4298.75,135.75,175.313,171.281,2325.31,2200.98,0.798341,0.796876,703.416
4313.5,137.556,175.43,173.953,2319.3,2232.11,0.771974,0.796876,707.674
4331.0,138.028,174.516,173.836,2307.11,2227.81,0.775392,0.796876,707.674
4367.0,138.083,169.5,172.523,2276.76,2208.2,0.767579,0.796876,707.674
4377.0,139.528,172.43,171.398,2270.66,2191.25,0.770265,0.796876,707.674
4383.75,137.861,169.758,175.125,2291.91,2237.3,0.778077,0.796876,711.658
4413.75,138.445,167.18,175.148,2255.47,2235.66,0.787843,0.796876,711.658
4436.75,136.361,164.555,175.195,2222.07,2232.7,0.796632,0.796876,711.658
4430.0,133.028,163.313,175.125,2225.04,2231.09,0.803712,0.796876,711.658
4458.0,130.056,160.078,175.008,2191.64,2229.02,0.798341,0.796876,715.311
4484.75,131.75,159.469,175.195,2136.99,2227.93,0.793947,0.796876,715.311
4491.25,131.5,156.984,173.625,2133.91,2206.37,0.790529,0.796876,715.311
4518.75,133.333,156.328,173.672,2112.7,2207.15,0.798341,0.796876,718.611
4536.5,133.333,155.766,173.648,2133.91,2204.22,0.797609,0.796876,718.611
4534.75,135.972,156.609,173.602,2133.91,2201.76,0.799318,0.796876,718.611
4573.0,135.972,156.797,173.719,2130.86,2202.3,0.793214,0.796876,718.611
4587.0,137.667,157.078,174.023,2158.2,2206.95,0.807374,0.796876,721.619
4595.0,139.389,157.195,174.0,2155.2,2205.66,0.809083,0.796876,721.619
4634.25,139.833,157.898,174.07,2164.3,2204.65,0.794923,0.796876,721.619
4642.5,141.139,159.75,174.398,2149.14,2205.9,0.798341,0.796876,721.619
4655.75,142.695,159.797,174.328,2158.24,2203.44,0.803712,0.796876,724.353
4672.25,144.278,160.898,174.492,2173.44,2203.63,0.80298,0.796876,724.353
